Brand_ID,Brand_Name
A020056,가쉬
A001436,구달
A001624,그라펜
A005055,글로오아시스
A011632,글로우
A002517,나인위시스
A003477,넘버즈인
A000486,눅스
A003326,닥터디퍼런트
A008711,닥터멜락신
A000447,닥터브로너스
A000426,닥터자르트
A000627,닥터지
A004571,닥터하스킨
A002758,달바
A002367,달팡
A002924,더랩바이블랑두
A015714,더마라인
A003626,더마펌
A003550,더말로지카
A002789,더바디샵
A003601,더샘
A011912,더페이스샵
A012893,더후
A009531,디마르3
A003210,디오디너리
A017540,디퍼
A015313,딕셔니스트
A003222,땡큐파머
A000014,라끄베르
A002948,라네즈
A000954,라로슈포제
A003795,라빠레뜨
A002756,라운드랩
A017534,랑콤
A000859,랩시리즈
A003714,레이지소사이어티
A001722,로벡틴
A001662,리얼베리어
A006651,리엔케이
A002884,리우젤
A003824,리쥬란
A001924,마녀공장
A000031,마몽드
A001925,메디큐브
A002310,메이크프렘
A008151,몰바니
A003080,미구하라
A016998,미닉
A003666,믹순
A002873,바버501
A002693,바비브라운
A000451,바이오더마
A007391,바이오던스
A000897,바이오힐보
A015094,반코르
A017287,브리올옴므
A002253,브링그린
A007211,브이앤에이뷰티
A008671,블랑네이처
A003025,비레디
A006635,비마이셀프
A000989,비오템
A002222,비욘드
A002833,비플레인
A003679,빌리프
A003369,생블랑쉬
A012973,설화수
A003927,성분에디터
A020883,세포랩
A002895,센텔리안24
A006153,셀라딕스
A002971,셀리맥스
A001746,셀린저
A001854,셀퓨전씨
A014375,스콧해미쉬
A003738,스킨1004
A003703,스킨앤랩
A003070,스킨푸드
A003754,스튜디오17
A011592,슬로소피
A002401,시카고
A000036,식물나라
A000275,싸이닉
A006091,썸바이미
A003377,아누아
A000003,아벤느
A001728,아비브
A001643,아이디얼포맨
A000730,아이소이
A004651,아이오페
A002202,아임프롬
A000415,아크네스
A003290,애즈이즈투비
A017179,어나더페이스
A002812,에르쯔틴
A002275,에센허브
A003493,에스네이처
A003446,에스테덤
A002474,에스트라
A000288,엠도씨
A002465,엠브리올리스
A015753,연작
A003713,오브제
A008771,오휘
A003268,올리고더미
A000102,우노
A015073,운스트라움
A003540,원씽
A002258,웰라쥬
A000419,유리아쥬
A000697,유세린
A003681,이니스프리
A001846,이즈앤트리
A005911,인터미션
A003055,정샘물
A013852,제나벨
A014453,제로이드
A003923,조선미녀
A017541,지피덤
A000645,차앤박
A015735,케어놀로지
A000279,케어존
A001681,코스노리
A001465,코스알엑스
A006591,코스톡
A002369,큐어
A001641,크리니크
A002730,클럽맨피노드
A015993,키엘
A011292,테라로직
A003693,토니모리
A002820,토리든
A003664,트러블레스
A003382,티엘스
A003335,파티온
A001382,파파레서피
A012012,퍼셀
A020850,페이보릿
A015373,포레스트
A002586,포엘리에
A003278,폴라초이스
A015554,풀리
A006471,프랭클리
A017579,플로디카
A003340,플리프
A000729,피지오겔
A003900,피캄
A014553,피토메르
A000517,하다라보
A003405,하루하루원더
A000474,한율
A004871,허블룸
A003635,헉슬리
A002992,헤라
A011452,헤브블루
A003611,헤이네이처
A009511,후시다인
A001094,AHC
A015293,LBB
A015737,SVR
A001873,VT
A020677,rdrd
A003585,가히
A016155,그라운드플랜
A020028,나노레시피
A001130,네오젠
A012192,네이처리퍼블릭
A013812,뉴라덤
A003223,다룸
A001316,다슈
A001325,닥터엘시아
A008851,닥터오라클
A011772,닥터하우쉬카
A020731,더마젼시
A002986,더마토리
A017140,더마팩토리
A003209,더마픽스
A003819,더파이에센셜
A010213,더하르나이
A003992,도미나스
A020891,동국제약
A020740,동아제약
A000652,듀이트리
A020151,디마프
A002760,디어클레어스
A004511,디에이브
A014733,라돌프
A002753,라씨엘르
A003389,랑벨
A006611,러븀
A020733,레이어랩
A011434,로우퀘스트
A004872,루트리
A017543,리덴스
A021112,리쥬덱스
A009771,리터니티
A001098,린제이
A017039,마미케어
A007591,마일드랩
A002696,맥
A003727,메디앤서
A010171,메디큐브
A002466,메디테라피
A003336,메디필
A000688,메디힐
A020674,모토몬트
A003741,무슈제이
A003266,미샤
A017779,밀리밀리
A002674,바버
A003582,배드스킨
A003689,베리홉
A009211,블리브유
A001859,블리블리
A003836,비건이펙트
A007871,비긴스
A020175,비노트
A020049,빛클
A004791,샤이샤이샤이
A016634,셀로라바이
A016434,셀올로지
A017274,셀인샷
A020038,션리
A003619,수이스킨
