review_id,aspect,sentiment_text,raw_text
1026634,자극성,너무 오래 하고 있으니까 피부에 안 나던 트러블도 생겨서..ㅠㅠ,흠... 생각보다 나쁘지는 않은 제품인데.. 그렇다고 썩 좋지도 않은 제품이었습니다.. 기대가 제가 너무 커서 그랬을 수도 있지만.. 개인적으로는 추천 드리고 싶지 않은 제품이에요 일단 팩 재질이 너무 얇아서 좋지 않아요. 비닐 뜯을 때 같이 뜯어지는 경우가 허다하고 무엇보다 밀착이 잘 되지 않아서 아쉬운 것 같습니다... 그리고 팩 시간이 너무 길어요.. 보통 팩은 길어야 30분 정도인데 이 팩은 1시간을 붙이고 있어야 하니까....하.. 너무 길어서 지루하네요.. 너무 오래 하고 있으니까 피부에 안 나던 트러블도 생겨서.. ㅠㅠ 솔직히 촉촉하고 보습력은 좋지만 나머지 것들이 마음에 안 들었습니다. 별로 추천 하고 싶지 않은 제품이에요~ 다른 마스크팩 사러 가야겠습니다 저는...ㅠㅠ
1030337,윤기/피부(톤),톤 보정이 잘 되어서 이 제품 사용하고 톤업 크림은 사용 안 하고 있어요 ㅋㅋㅋㅋ!!,광채 선크림은 어떨까 하고 처음 구매를 했는데 너무 좋아서 추천 드리고 싶었습니다!! 톤 보정이 잘되어서 이 제품 사용하고 톤업 크림은 사용 안 하고 있어요 ㅋㅋㅋㅋ!! 자외선 차단도 상당히 잘 되고 무엇보다 가격이 저렴해서 좋았던 것 같아요!! 선크림 바를 때 광채가 생기니 일석이조인 것 같습니다!! 뭐랄까 자연스럽게 피부톤이 보정되는 것 같아 좋았어요!! 국화향도 강하지 않고 은은해서 좋았고 바르면 산뜻한 느낌이 상당히 마음에 들었습니다ㅎㅎ용량도 많아 오래 사용할 수 있겠네요~^^ 개인적으로 너무 만족해서 앞으로도 꾸준하게 사용할 것 같습니다!! 저는 다음에도 재주문 예정입니다 ㅎㅎ
1031116,보습력/수분감,세수 하고 개운해지는 청량감 좋은 클렌저로 추천 드리고 싶어요!,전에 사용하던 클렌저가 질려서 새로운 제품을 찾다가 친구 추천을 받고 사용하게 되었습니다! 사용 후기 알려 드리기 위해 작성합니다~ 저는 피부가 예민한 편이라 아무거나 사용하지 못하는데 이 제품은 민감성 피부가 사용해도 정말 좋은 것 같아요! 그 이유는 너무 순하고 자극도 없습니다! 거품제형이 부드러워 너무 좋아요! 용량도 생각보다 많아서 오래 사용할 수 있어 좋았고! 세정력이 좋아서 만족합니다!! 가격만 더 저렴해지면 진짜 더 좋을 것 같네요~ㅎㅎ 클렌저 많은 제품 사용했지만 이 제품이 품질이 가장 좋은 것 같습니다~ 세수하고 개운해지는 청량감 좋은 클렌저로 추천 드리고 싶어요!
1031219,자극성,민감한피부에도 자극적이지 않고,OO 브랜드를 처음 들어봐서 신생 기업에서 만든 제품인 줄 알고 열심히 후기 찾아 보다가 OOO 제품인 걸 알았어요. 다들 OOO 제품인 거 알고 계셨나요??? 처음 써본 제품인데 제형이 부드러운 흰색이라 그런지 피부에 부드럽게 스며들고 민감한 피부에도 자극적이지 않고 화이트닝 기능이 있어 피부가 좋아 보입니다. 백탁현상 있는 제품도 많은데 전혀 그렇지도 않고 피부가 반들반들해진 거 같아요. 그전에 선크림은 피부에 잘 맞지 않았고 마음에 속 드는 제품 찾기도 힘들었는데 OO 선크림 너무 만족했어요.
1032465,제형,거품제형이 완전 부들부들해서,엄마가 계속 몇년동안 사용하시는 인생 클렌징은 바로 OO OOO 클랜져 입니다 ^^저도 한번 사용해 보았답니다~~ OOO 클렌징은 제형이 쫀쫀해서 흘러내리지도 않고 얼굴에 미세한 거품을 만들어 내며 거품이 모공 속 노폐물을 빼내는 것 같았어요 거품 제형이 완전 부들부들해서 깨끗하게 클렌징되고 또 팩도 되어서 세안 후 당김현상도 없이 피부가 보습도 되고 광채까지 와~~우!!! 엄마가 왜 꾸준하게 사용하시는지 알겠어요.저도 팬이 됐어요 ㅋㅋ 정말 강추 !!!!
1034104,피부타입,약건성 피부이긴 하지만 점성이 거의 없는제형이라 여러 번 덧바르면 피부에 수분감을 저축하는 느낌이라 좋아요~,끈적임 없고 가벼운 사용감에 산뜻한 느낌을 좋아하는 저에게 ㅇㅇㅇ ㅇㅇ 에센스가 딱 좋아요! 너무 자랑하고 싶어요~!! 제형이 일단 너무 가벼워서 참 좋아요! 약건성 피부이긴 하지만 점성이 거의 없는 제형이라 여러 번 덧바르면 피부에 수분감을 저축하는 느낌이라 좋아요~ 바르면 피부가 보송보송 해져요~ 바르다 보니 탄력도 생기는 것 같아요~! 신기해서 손가락으로 볼을 꾹꾹 누르는 습관이 생겼답니다 ㅎㅎ 향은 약간 아리송한데.. ㅎ 좀 호불호가 있는 향이긴 한데 저는 나쁘지 않아요. 향에 민감하신 분들은 고려해 보시면 좋을 듯합니다~! 저는 개인적으로 다른 모든 면이 너무 좋아 향은 그렇게 중요한 포인트는 아니더라구요~ㅎ
1023485,자극성,순한 것 같네요 .,흰머리가 아주 제 머리를 지배하는 날들이 자꾸 와서 저도 한참 고민하다가 구매했네요. 제 후기 보여드릴게요~~ 일단 저는 엄마랑 같이 사용했어요! 지인분께서 요즘은 물염색이 유행이라고 하셔서 눈에 보이자마자 바로 구매했네요..! 원래 저랑 엄마가 두피가 약간 예민한 타입인데 자극적이지도 않고 순한 것 같네요. 냄새도 딱히 저희한테는 강하다고 느껴지지 않았어요. 가루제형도 물에 잘 타서 사용하면 사용하기 편하고 괜찮았어요. 용기입구가 작아서 한번에 나오지 않고 조금씩 나와서 저는 괜찮았습니다! 그리고 물빠짐은 사실 이틀 정도 있었지만 그렇게 거부감은 들지 않았어요. 미용실 가서 몇만원 주는 것 보다 훨씬 가성비가 있네요. 가성비 있고 집에서 편하게 하실 분들은 구매해서 사용해보세요~~
1025858,자극성,두피가 민감하신분은 자극적일수 있으니 시간 맞춰주세요.,염색하고 나서 너무 깜짝 놀란 제 얘기 들어보실래요? 저는 밝은색으로 염색하려고 OO 염색약을 샀거든요. 이런 초코브라운 색을 원했어요..!바르고 씻고 나오는 순간..엥? 놀랐네요. 초코브라운이 아니라..너무 밝게 염색이 되었더라구요..ㅠㅠ 초코브라운색으로 발색되는 건 아니였네요..사람마다 기존의 머리색이 있으니 발색이 약간 밝게 발색되었더라구요!!! 그래도 바르면서 덜 자극적이였지만 두피가 민감하신분은 자극적일 수 있으니 시간 맞춰주세요. 초코브라운 생각하고 염색했더니 약간 실망했어요.. 나머지 색상도 그냥..그래요. 미용실 가려구요. OO 염색제 사용해보고 싶으신 분들 쪽지 남겨주세요. 제가 나눔할게요.
1027221,가격,구성대비 이 가격이면 정말 착한 거 같아요.,요즘 어머니께서 머릿결이 너무 자주 빠지신는지 탈모 걱정을 하시길래 구매했습니다. 최근에 머리가 푸석푸석하고 모발에 힘도 없어지면서 머리가 자주 빠지신다고 하더라고요. 머리감고 나면 바닥에 머리가 엄청 빠져있으신 걸 보신 후 충격을 받으셨길래 한번 구매했습니다. 일단 구성 대비 이 가격이면 정말 착한 거 같아요. 게다가 효과도 조금 보신 거 같더라고요. 확실히 이걸 쓴 날과 안쓰는 날의 효과 차이가 있다고 하십니다. 머리가 덜 빠지고 머릿결도 부드러워져서 좋아하시네요. 이 구성품 다 쓰고 나서 하나 더 구매해드릴려고 합니다. 여러분도 저희 어머님처럼 탈모가 걱정이시라면 한번 써보는 걸 추천드려요.
1032202,편의성/활용성,몸 구석구석 바르기가 편하네요~,ㅇㅇ 제품을 쓰다가 가격이 부담되어서 가성비 좋은 ㅇㅇㅇ바디로션으로 바꿔 봤어요. 용기가 펌프형이라 위생적이고 편하긴 한데 펌핑이 부드럽지가 않아서 몇번을 펌프질 하게 되네요 ㅠ 전엔 크림형으로 쓰다가 이 제품은 제형이 로션타입으로 묽어서 몸 구석구석 바르기가 편하네요 ~ 건성피부에는 겨울엔 좀 보습이 부족하다고 느낄 수는 있을 것 같지만 저는 중성피부라 잘 맞는 것 같아요. 크림타입은 좀 무거웠는데 이 제품은 가볍게 잘 발려서 사용감이 한결 깔끔한 것 같아요. 나쁘지 않네요. 용기의 폄프 불량인지 그 부분은 좀 아쉽지만 괜찮은 제품 같아요^^ 쓰던 제품이 지겨울 때 용기 내서 한번 바꿔보아요~
1033346,발색력,제가 하고 싶었던 컬러로 발색이 잘나와서 너무 만족하고 있습니다.,겨울이 돼서 톤다운하려고 구매했는데요. 생각보다 너무 좋아서 처음으로 후기 남깁니다. 저는 염색약이 강하면 하고나서 두피가 아프고 따가웠는데 이 제품은 그런게 없었습니다. 여러번 발라도 따갑거나 트러블이 올라오지 않아서 좋았습니다. 게다가 색이 다른 제품들보다 어두워서 톤다운이 아주 잘됐습니다. 제가 하고 싶었던 컬러로 발색이 잘 나와서 너무 만족하고 있습니다. 꼭 필요한 구성품들도 다 들어있어서 편하게 잘 할 수 있었던 거 같네욯ㅎ 가격 대비 이 구성이라면 정말 완벽하다고 생각합니다. 완전 강추해요!!
