split,original_aspect,normalized_aspect,reason,count
test,가격,가격,unchanged,933
test,기능/효과,기능/효과,unchanged,1392
test,디자인,디자인,unchanged,54
test,밀착력/접착력,밀착력/접착력,unchanged,120
test,발림성,발림성,unchanged,539
test,발색력,발색력,unchanged,331
test,보습력/수분감,보습력/수분감,unchanged,833
test,보습력/수분감/쿨링감,보습력/수분감,merged_duplicate_label,443
test,사용감,사용감,unchanged,111
test,사이즈/두께,사이즈/두께,unchanged,6
test,색상,색상,unchanged,409
test,성분,성분,unchanged,89
test,용기,용기,unchanged,218
test,용량,용량/개수,merged_duplicate_label,215
test,용량/개수,용량/개수,unchanged,41
test,유통기한,유통기한,unchanged,154
test,윤기/피부(톤),윤기/피부(톤),unchanged,224
test,자극성,자극성,unchanged,448
test,제품구성,제품구성,unchanged,192
test,제형,제형,unchanged,347
test,지속력,지속력/유지력,merged_duplicate_label,19
test,지속력/유지력,지속력/유지력,unchanged,354
test,커버력,커버력,unchanged,16
test,탄력,탄력,unchanged,6
test,편의성/활용성,편의성/활용성,unchanged,572
test,품질,품질,unchanged,94
test,피부타입,피부타입,unchanged,137
test,향,향,unchanged,806
test,흡수력,흡수력,unchanged,692
train,가격,가격,unchanged,11783
train,기능/효과,기능/효과,unchanged,15711
train,디자인,디자인,unchanged,613
train,밀착력/접착력,밀착력/접착력,unchanged,1670
train,발림성,발림성,unchanged,5974
train,발색력,발색력,unchanged,2411
train,보습력/수분감,보습력/수분감,unchanged,10722
train,보습력/수분감/쿨링감,보습력/수분감,merged_duplicate_label,4338
train,사용감,사용감,unchanged,1025
train,사이즈/두께,사이즈/두께,unchanged,763
train,색상,색상,unchanged,2817
train,성분,성분,unchanged,1455
train,용기,용기,unchanged,2648
train,용량,용량/개수,merged_duplicate_label,1917
train,용량/개수,용량/개수,unchanged,936
train,유통기한,유통기한,unchanged,1321
train,윤기/피부(톤),윤기/피부(톤),unchanged,5146
train,자극성,자극성,unchanged,4666
train,제품구성,제품구성,unchanged,5099
train,제형,제형,unchanged,3316
train,지속력,지속력/유지력,merged_duplicate_label,857
train,지속력/유지력,지속력/유지력,unchanged,5046
train,커버력,커버력,unchanged,2373
train,탄력,탄력,unchanged,934
train,편의성/활용성,편의성/활용성,unchanged,9410
train,품질,품질,unchanged,2023
train,피부타입,피부타입,unchanged,1930
train,향,향,unchanged,9366
train,흡수력,흡수력,unchanged,7807
validation,가격,가격,unchanged,852
validation,기능/효과,기능/효과,unchanged,1438
validation,디자인,디자인,unchanged,42
validation,밀착력/접착력,밀착력/접착력,unchanged,107
validation,발림성,발림성,unchanged,536
validation,발색력,발색력,unchanged,320
validation,보습력/수분감,보습력/수분감,unchanged,839
validation,보습력/수분감/쿨링감,보습력/수분감,merged_duplicate_label,426
validation,사용감,사용감,unchanged,111
validation,사이즈/두께,사이즈/두께,unchanged,13
validation,색상,색상,unchanged,351
validation,성분,성분,unchanged,91
validation,용기,용기,unchanged,181
validation,용량,용량/개수,merged_duplicate_label,220
validation,용량/개수,용량/개수,unchanged,28
validation,유통기한,유통기한,unchanged,153
validation,윤기/피부(톤),윤기/피부(톤),unchanged,211
validation,자극성,자극성,unchanged,482
validation,제품구성,제품구성,unchanged,171
validation,제형,제형,unchanged,341
validation,지속력,지속력/유지력,merged_duplicate_label,28
validation,지속력/유지력,지속력/유지력,unchanged,347
validation,커버력,커버력,unchanged,8
validation,탄력,탄력,unchanged,4
validation,편의성/활용성,편의성/활용성,unchanged,572
validation,품질,품질,unchanged,107
validation,피부타입,피부타입,unchanged,149
validation,향,향,unchanged,791
validation,흡수력,흡수력,unchanged,718
