split,review_id,source,category,product_name,raw_text,aspect,sentiment_text,sentiment_polarity,model_input,label,original_aspect,normalization_reason
train,1023270,SNS,스킨케어,OO 인** 모이스처라이징 크림 50ml,딸아이가 여행다녀와서 사온 제품인데 이제는 제가 구입해서 쓰는 제품입니다 한동안 열심히 쓰다가 잊고 있었는데 다시 생각나서 구입하게 되었어요 일단 가격이 정말 저렴해서 구매할 때 부담이 없구요 모든 피부 타입에 다 발라도 될 정도로 순하고 수분 촉촉 기득한 보습크림이에요 끈적임 없고 발림성도 좋고 무엇보다 아침저녁 세수하고 이거 하나만 착 바르고 나면 끝이랍니다 추가로 뭘 더 바를 필요가 없어요 향은 OO 핸드크림 같은 좋은 향기구요. 일단 듬뿍 바르고 있어요 촉촉하고 향이 너무 좋아요 자기전에 바르면 기분이 좋아집니다 가성비 좋은 OOO 크림 추천드립니다,자극성,순하고,1,[속성] 자극성 [문장] 순하고,,자극성,unchanged
train,1023270,SNS,스킨케어,OO 인** 모이스처라이징 크림 50ml,딸아이가 여행다녀와서 사온 제품인데 이제는 제가 구입해서 쓰는 제품입니다 한동안 열심히 쓰다가 잊고 있었는데 다시 생각나서 구입하게 되었어요 일단 가격이 정말 저렴해서 구매할 때 부담이 없구요 모든 피부 타입에 다 발라도 될 정도로 순하고 수분 촉촉 기득한 보습크림이에요 끈적임 없고 발림성도 좋고 무엇보다 아침저녁 세수하고 이거 하나만 착 바르고 나면 끝이랍니다 추가로 뭘 더 바를 필요가 없어요 향은 OO 핸드크림 같은 좋은 향기구요. 일단 듬뿍 바르고 있어요 촉촉하고 향이 너무 좋아요 자기전에 바르면 기분이 좋아집니다 가성비 좋은 OOO 크림 추천드립니다,보습력/수분감,촉촉하고,1,[속성] 보습력/수분감 [문장] 촉촉하고,,보습력/수분감,unchanged
train,1023273,SNS,스킨케어,OO 더** 카밍 토너 145ml,날씨가 점점 넘 추워지고 있어요 예민한 피부라서 스킨도 고민인데요. 처음 써본 OO 제품 리뷰해볼게요 향 자체가 없어서 거부감없이 사용하기 편하더라구요 냄새에 민감한 편이라 좋아요 순하고 산뜻해서 여름에 잘 사용했어요 건성피부에는 조금 건조할것같기도 하지만 저는 적당한 수분감으로 쓰기 좋아요:) 그래도 두 번 정도 발라주니까 수분감 넘치고 촉촉해서 피부 좋아지는 게 눈에 보여요. 끈적이지 않아서 금방 흡수되고 여름철에 화장 전 바르기도 좋아요. 수부지한테 강추! 용량이 크긴한데 금방 다 쓰더라고요 건성보다는 수부지에 더 잘맞을 것 같은 OO 토너 리뷰였습니다,자극성,순하고,1,[속성] 자극성 [문장] 순하고,,자극성,unchanged
train,1023427,SNS,스킨케어,[2+2] OO 퓨** 폼클렌징 220ml 4개 / 클렌징폼,"무조건 산뜻한 거 찾으시는 분들 계시죠? 딱 좋은 클렌징 폼이 있어서 여러분께 사용후기를 공개할까 해요. 그 주인공은 바로 OOO 클렌징 폼이랍니다~ 대용량인 데다가 4개 묶음 구성이 좋아 보여서 구매해 본 제품이에요. 향도 좋고 세정력도 좋아서 만족스럽게 사용하고 있어요. 이 클렌징 폼으로 세안하면 아무리 끈적거리는 여름이라도 끈끈함이 싹 사라지고 엄청 뽀득뽀득해져요. 저는 촉촉한 걸 좋아하는 편이라 여름이 지나면 가까이 하기 어려울 것 같기도 한데요, 지성피부인 남편은 기름기가 사라진다며 아주 좋아하네요. 저렇게 좋아하는데 저렴하기도 하니 계속 사 줘야겠어요ㅎㅎ 얼굴에 유전 보유하신 분들께 꼭 추천해 드리고픈 클렌징 폼이었어요.",향,향도 좋고,1,[속성] 향 [문장] 향도 좋고,,향,unchanged
train,1023438,SNS,스킨케어,OO 자** 기초 2종 세트,"오늘은 제가 직접 써 본 후기는 아니고, 저희 엄마의 후기를 대신 풀어 보도록 할게요~ 몇 달 전에 제가 엄마께 OO OOO 2종 세트를 보내 드렸거든요. 너무 좋아하시더라고요. 일단 눈으로 보기만 해도 케이스가 고급스러워 보여서 좋아하셨고, 써 보시더니 더 좋아하셨어요. 촉촉하고 향긋하니 얼마나 좋은지 모르겠다며 아껴 쓰셨어요ㅎㅎ 또래에 비해 동안이시지만 그래도 주름이 싫으셨는지~ OO 바르니까 팔자주름도 훨씬 옅어 보인다고 다음에도 또 이어서 쓰고 싶다고 하시네요. 옛날엔 면세점에서나 사던 귀한 물건이라며 ㅜㅜ 그에 비하면 지금은 정말 저렴하게 살 수 있지요. 이렇게 좋아하시는데 왜 진작 안 사드렸을까 하고 딸내미는 반성했답니다.",보습력/수분감,촉촉하고,1,[속성] 보습력/수분감 [문장] 촉촉하고,,보습력/수분감,unchanged
train,1023440,SNS,스킨케어,OO 자** 기초 2종 세트,여러분이 30대에 접어들었다면 아마도 OO에 눈길이 조금씩 가고 있을 거예요. OO OOO 2종 세트 사용후기도 안 보고 넘어갈 수 없을 겁니다! OO는 OOOO에센스가 워낙 유명해서 에센스로 입문하는 분들이 많더라고요. 그렇게 시작해서 점점 기초 라인을 OO로 도배하게 되는데요(예언입니다)... 에센스 다음은 역시 OOO 기초겠죠. 촉촉하고 순해서 부담없이 쓸 수 있으니 OO 입문에 딱 알맞은 제품이랍니다. 게다가 진정 효과도 좋아서 트러블 피부에도 쓸 수 있고요. 향도 너무 가볍지 않게 은근히 향긋해서 연령에 구애 받지 않고 엄마와 딸이 함께 쓰기에도 좋아요. 오늘 제가 좀 족집게 같았죠? 족집게 믿고 한 번 써 보시면 후회 없을 거예요.,보습력/수분감,촉촉하고,1,[속성] 보습력/수분감 [문장] 촉촉하고,,보습력/수분감,unchanged
train,1023451,SNS,스킨케어,OO 독** 로션 400ml,피부가 쩍쩍 갈라지는 겨울이 와버리다니 너무 걱정이 되는 요즘 사용중인 로션 리뷰해볼게요 순하고 무향인데 촉촉하고 부작용도 없고 매우 만족합니다^^ 피부가 민감한데 간지러운 느낌이나 부작용이 하나도 없네요 가족 전체가 다 쓰는데 여드름있는 아들도 괜찮다고 하네요 저는 로션중에 꾸덕한 제형 싫어하는 편인데 여기껀 괜찮아요 펌프식이라 화장실 앞에 두고 사용하기 좋고요 용량대비 가격도 괜찮은 편입니다 400ML 대용량이 있는 것도 너무 좋아요 피부 예민한 요즘 관리 조심하시고 다들 즐거운 하루되세요~,자극성,순하고,1,[속성] 자극성 [문장] 순하고,,자극성,unchanged
train,1023451,SNS,스킨케어,OO 독** 로션 400ml,피부가 쩍쩍 갈라지는 겨울이 와버리다니 너무 걱정이 되는 요즘 사용중인 로션 리뷰해볼게요 순하고 무향인데 촉촉하고 부작용도 없고 매우 만족합니다^^ 피부가 민감한데 간지러운 느낌이나 부작용이 하나도 없네요 가족 전체가 다 쓰는데 여드름있는 아들도 괜찮다고 하네요 저는 로션중에 꾸덕한 제형 싫어하는 편인데 여기껀 괜찮아요 펌프식이라 화장실 앞에 두고 사용하기 좋고요 용량대비 가격도 괜찮은 편입니다 400ML 대용량이 있는 것도 너무 좋아요 피부 예민한 요즘 관리 조심하시고 다들 즐거운 하루되세요~,보습력/수분감,촉촉하고,1,[속성] 보습력/수분감 [문장] 촉촉하고,,보습력/수분감,unchanged
train,1023452,SNS,스킨케어,OO 플** 에멀전 150m,"피부가 쩍쩍 갈라지는 겨울이 왔습니다 요즘 사용중인 로션 리뷰해볼게요 OO OOO 에멀전은 향도 좋고 가격도 착하며 한여름 유분이 적당하고 피부에 가볍게 느껴져 만족임당. 제형이 약간 묽게 느껴지나 촉촉하고 부드럽게 잘 발립니다. 가성비 좋고 만족합니다. 건성이쓰기에 괜찮은듯 촉촉하고 부드러운 편이라 부담안가고 좋아요 유분이 없어서 끈적이지 않고 적당히 촉촉해서 여름에 쓰기 적당합니다. 건성 피부는 겨울에 좀 당길 수도 있을 지 모르나 복합성이나 지성 피부는 부담 없이 사계절 내내 알맞을 거 같고, 향이 강하지 않아 더 마음에 듭니다, 피부 예민한 요즘 관리 조심하시고 다들 즐거운 하루되세요~",향,향도 좋고,1,[속성] 향 [문장] 향도 좋고,,향,unchanged
train,1023452,SNS,스킨케어,OO 플** 에멀전 150m,"피부가 쩍쩍 갈라지는 겨울이 왔습니다 요즘 사용중인 로션 리뷰해볼게요 OO OOO 에멀전은 향도 좋고 가격도 착하며 한여름 유분이 적당하고 피부에 가볍게 느껴져 만족임당. 제형이 약간 묽게 느껴지나 촉촉하고 부드럽게 잘 발립니다. 가성비 좋고 만족합니다. 건성이쓰기에 괜찮은듯 촉촉하고 부드러운 편이라 부담안가고 좋아요 유분이 없어서 끈적이지 않고 적당히 촉촉해서 여름에 쓰기 적당합니다. 건성 피부는 겨울에 좀 당길 수도 있을 지 모르나 복합성이나 지성 피부는 부담 없이 사계절 내내 알맞을 거 같고, 향이 강하지 않아 더 마음에 듭니다, 피부 예민한 요즘 관리 조심하시고 다들 즐거운 하루되세요~",보습력/수분감,촉촉하고,1,[속성] 보습력/수분감 [문장] 촉촉하고,,보습력/수분감,unchanged
