review_id,source,category,product_name,raw_text,aspect,sentiment_text,sentiment_polarity,model_input,label,original_aspect,normalization_reason,split
1023184,SNS,스킨케어,OO 퓨** 대용량 오일폼 310g+스마일브러시,"클렌징 오일과 클렌징 폼으로 두 번 하는 세안, 사실 번거롭잖아요? 두 가지를 한 번에 할 수 있는 클렌징 제품이 있다고 해서 사용해 보고 후기 올립니다. 제가 구매한 제품은 대용량이라 일단 용량이 넉넉해서 좋아요. 가격도 아주 착한데, 감사하게도 샘플까지 많이 챙겨 주셨어요. 이러면 사용 전부터 마음이 훈훈해지죠?ㅎㅎ 사용해 보니 예민한 피부에 자극 없이 순하고 세정력도 좋은 것 같아요. 진한 메이크업까지 한 번에 지워지지는 정도는 아니지만, 데일리 메이크업 정도는 부드럽게 잘 닦이는 느낌이랍니다. 용기는 펌핑 방식이라 사용하기가 좋고, 구성품으로 실리콘브러시가 들어 있어서 블랙헤드 문지르기에 아주 편해요. 이만하면 팔방미인이라 해야겠어요. 클렌징 제품은 어쩐지 매번 새로운 걸 써 보게 돼요. 궁금하니까요! 이 제품도 다음에 다시 만날지 어떨지 아직은 모르지만~ 만족하며 사용하고 있답니다.",세정력,세정력도 좋은 것 같아요.,1,[속성] 기능/효과 [문장] 세정력도 좋은 것 같아요.,12,기능/효과,function_excluded,train
1023184,SNS,스킨케어,OO 퓨** 대용량 오일폼 310g+스마일브러시,"클렌징 오일과 클렌징 폼으로 두 번 하는 세안, 사실 번거롭잖아요? 두 가지를 한 번에 할 수 있는 클렌징 제품이 있다고 해서 사용해 보고 후기 올립니다. 제가 구매한 제품은 대용량이라 일단 용량이 넉넉해서 좋아요. 가격도 아주 착한데, 감사하게도 샘플까지 많이 챙겨 주셨어요. 이러면 사용 전부터 마음이 훈훈해지죠?ㅎㅎ 사용해 보니 예민한 피부에 자극 없이 순하고 세정력도 좋은 것 같아요. 진한 메이크업까지 한 번에 지워지지는 정도는 아니지만, 데일리 메이크업 정도는 부드럽게 잘 닦이는 느낌이랍니다. 용기는 펌핑 방식이라 사용하기가 좋고, 구성품으로 실리콘브러시가 들어 있어서 블랙헤드 문지르기에 아주 편해요. 이만하면 팔방미인이라 해야겠어요. 클렌징 제품은 어쩐지 매번 새로운 걸 써 보게 돼요. 궁금하니까요! 이 제품도 다음에 다시 만날지 어떨지 아직은 모르지만~ 만족하며 사용하고 있답니다.",세정력,"진한 메이크업까지 한 번에 지워지지는 정도는 아니지만,",0,"[속성] 기능/효과 [문장] 진한 메이크업까지 한 번에 지워지지는 정도는 아니지만,",12,기능/효과,function_excluded,train
1023184,SNS,스킨케어,OO 퓨** 대용량 오일폼 310g+스마일브러시,"클렌징 오일과 클렌징 폼으로 두 번 하는 세안, 사실 번거롭잖아요? 두 가지를 한 번에 할 수 있는 클렌징 제품이 있다고 해서 사용해 보고 후기 올립니다. 제가 구매한 제품은 대용량이라 일단 용량이 넉넉해서 좋아요. 가격도 아주 착한데, 감사하게도 샘플까지 많이 챙겨 주셨어요. 이러면 사용 전부터 마음이 훈훈해지죠?ㅎㅎ 사용해 보니 예민한 피부에 자극 없이 순하고 세정력도 좋은 것 같아요. 진한 메이크업까지 한 번에 지워지지는 정도는 아니지만, 데일리 메이크업 정도는 부드럽게 잘 닦이는 느낌이랍니다. 용기는 펌핑 방식이라 사용하기가 좋고, 구성품으로 실리콘브러시가 들어 있어서 블랙헤드 문지르기에 아주 편해요. 이만하면 팔방미인이라 해야겠어요. 클렌징 제품은 어쩐지 매번 새로운 걸 써 보게 돼요. 궁금하니까요! 이 제품도 다음에 다시 만날지 어떨지 아직은 모르지만~ 만족하며 사용하고 있답니다.",세정력,데일리 메이크업 정도는 부드럽게 잘 닦이는 느낌이랍니다.,1,[속성] 기능/효과 [문장] 데일리 메이크업 정도는 부드럽게 잘 닦이는 느낌이랍니다.,12,기능/효과,function_excluded,train
1023187,SNS,스킨케어,OO 레** 크림 50ml,"손상 피부의 회복을 도와 주는 천사 같은 크림이 있다는 거, 알고 계셨나요? OO의 요 크림이 바로 그 고마운 크림인데요, 사용후기 지금 바로 나갑니다. 겨울에는 추운 날씨로 인해 피부가 뒤집어지기 일쑤죠. 그럴 때 피부를 진정시켜주는 크림으로, 갑자기 추워진 요즘 날씨에 준비해 두면 딱 좋을 제품입니다. OOO이라는 단어를 영어 사전에서 찾아 보면~ 회춘! 원기 회복! 이런 뜻이 있는데요, 이처럼 손상 받은 피부의 회복을 기대할 수 있는 화장품이지요. 보습력이 강한 크림은 종종 끈적한 경우가 있는데, 이 크림은 적은 양으로도 흡수가 잘 된답니다. 미끈거림 없이 사용감이 좋아요. 펩타이드 컴플렉스라는 성분이 들어서 손상 피부에 보습을 해 주고, 세라마이드와 마카다미아씨 오일 성분은 피부 장벽을 건강하게 하고 보습 보호막을 형성하여 보습의 지속력을 높여 줘요. 무엇보다 피부에 자극이 없다는 게 큰 장점이죠. 이미 손상 받은 피부에 화장품까지 자극을 주면 안 되잖아요. 겨울이면 칼바람에 노출될 수 밖에 없는 소중한 얼굴 피부를 위해 이 크림을추천할게요~",진정/트러블 개선,손상 피부의 회복을 도와 주는,1,[속성] 기능/효과 [문장] 손상 피부의 회복을 도와 주는,23,기능/효과,function_excluded,train
1023187,SNS,스킨케어,OO 레** 크림 50ml,"손상 피부의 회복을 도와 주는 천사 같은 크림이 있다는 거, 알고 계셨나요? OO의 요 크림이 바로 그 고마운 크림인데요, 사용후기 지금 바로 나갑니다. 겨울에는 추운 날씨로 인해 피부가 뒤집어지기 일쑤죠. 그럴 때 피부를 진정시켜주는 크림으로, 갑자기 추워진 요즘 날씨에 준비해 두면 딱 좋을 제품입니다. OOO이라는 단어를 영어 사전에서 찾아 보면~ 회춘! 원기 회복! 이런 뜻이 있는데요, 이처럼 손상 받은 피부의 회복을 기대할 수 있는 화장품이지요. 보습력이 강한 크림은 종종 끈적한 경우가 있는데, 이 크림은 적은 양으로도 흡수가 잘 된답니다. 미끈거림 없이 사용감이 좋아요. 펩타이드 컴플렉스라는 성분이 들어서 손상 피부에 보습을 해 주고, 세라마이드와 마카다미아씨 오일 성분은 피부 장벽을 건강하게 하고 보습 보호막을 형성하여 보습의 지속력을 높여 줘요. 무엇보다 피부에 자극이 없다는 게 큰 장점이죠. 이미 손상 받은 피부에 화장품까지 자극을 주면 안 되잖아요. 겨울이면 칼바람에 노출될 수 밖에 없는 소중한 얼굴 피부를 위해 이 크림을추천할게요~",진정/트러블 개선,"피부를 진정시켜주는 크림으로,",1,"[속성] 기능/효과 [문장] 피부를 진정시켜주는 크림으로,",23,기능/효과,function_excluded,train
1023187,SNS,스킨케어,OO 레** 크림 50ml,"손상 피부의 회복을 도와 주는 천사 같은 크림이 있다는 거, 알고 계셨나요? OO의 요 크림이 바로 그 고마운 크림인데요, 사용후기 지금 바로 나갑니다. 겨울에는 추운 날씨로 인해 피부가 뒤집어지기 일쑤죠. 그럴 때 피부를 진정시켜주는 크림으로, 갑자기 추워진 요즘 날씨에 준비해 두면 딱 좋을 제품입니다. OOO이라는 단어를 영어 사전에서 찾아 보면~ 회춘! 원기 회복! 이런 뜻이 있는데요, 이처럼 손상 받은 피부의 회복을 기대할 수 있는 화장품이지요. 보습력이 강한 크림은 종종 끈적한 경우가 있는데, 이 크림은 적은 양으로도 흡수가 잘 된답니다. 미끈거림 없이 사용감이 좋아요. 펩타이드 컴플렉스라는 성분이 들어서 손상 피부에 보습을 해 주고, 세라마이드와 마카다미아씨 오일 성분은 피부 장벽을 건강하게 하고 보습 보호막을 형성하여 보습의 지속력을 높여 줘요. 무엇보다 피부에 자극이 없다는 게 큰 장점이죠. 이미 손상 받은 피부에 화장품까지 자극을 주면 안 되잖아요. 겨울이면 칼바람에 노출될 수 밖에 없는 소중한 얼굴 피부를 위해 이 크림을추천할게요~",기타 기능/효과,갑자기 추워진 요즘 날씨에 준비해 두면 딱 좋을 제품입니다.,1,[속성] 기능/효과 [문장] 갑자기 추워진 요즘 날씨에 준비해 두면 딱 좋을 제품입니다.,2,기능/효과,function_excluded,train
1023187,SNS,스킨케어,OO 레** 크림 50ml,"손상 피부의 회복을 도와 주는 천사 같은 크림이 있다는 거, 알고 계셨나요? OO의 요 크림이 바로 그 고마운 크림인데요, 사용후기 지금 바로 나갑니다. 겨울에는 추운 날씨로 인해 피부가 뒤집어지기 일쑤죠. 그럴 때 피부를 진정시켜주는 크림으로, 갑자기 추워진 요즘 날씨에 준비해 두면 딱 좋을 제품입니다. OOO이라는 단어를 영어 사전에서 찾아 보면~ 회춘! 원기 회복! 이런 뜻이 있는데요, 이처럼 손상 받은 피부의 회복을 기대할 수 있는 화장품이지요. 보습력이 강한 크림은 종종 끈적한 경우가 있는데, 이 크림은 적은 양으로도 흡수가 잘 된답니다. 미끈거림 없이 사용감이 좋아요. 펩타이드 컴플렉스라는 성분이 들어서 손상 피부에 보습을 해 주고, 세라마이드와 마카다미아씨 오일 성분은 피부 장벽을 건강하게 하고 보습 보호막을 형성하여 보습의 지속력을 높여 줘요. 무엇보다 피부에 자극이 없다는 게 큰 장점이죠. 이미 손상 받은 피부에 화장품까지 자극을 주면 안 되잖아요. 겨울이면 칼바람에 노출될 수 밖에 없는 소중한 얼굴 피부를 위해 이 크림을추천할게요~",진정/트러블 개선,손상 받은 피부의 회복을 기대할 수 있는 화장품이지요.,1,[속성] 기능/효과 [문장] 손상 받은 피부의 회복을 기대할 수 있는 화장품이지요.,23,기능/효과,function_excluded,train
1023188,SNS,스킨케어,OO 아이크림 포 페이스 30ml x4,"오늘로 절기상 겨울이 시작되었다고 합니다. 겨울과 함께 눈가 주름 걱정도 시작될 수 밖에 없는데요. 그래서 오늘은 아이크림 사용 후기를 가져왔습니다. 이 제품은 제가 항상 사용하던 제품인데 이번에 처음으로 시즌10 제품을 구매하게 되었습니다. 저는 시즌1부터 쓰고 있답니다. OO는 앰플이랑 팩 종류도 다 괜찮은데 아이크림도 정말 좋아요. 겨울 내내 쓸 거라 4개 묶음 상품을 사 봤어요. 박스에 한 묶음로 배송되어서 옵니다. 늘 그렇듯 행사 기간에 착한 가격에 구입했고, 유통기한도 2025년 8월로 긴 제품이 왔네요. 저는 피부가 건성이라 얼굴 전체에 바르는데 확실이 당김이 덜합니다. 나이가 드니 피부가 점점 더 건조해지는데 제 피부에 이 제품이 딱이에요. 촉촉하고 좋습니다. 용량이 작다는 점이 살짝 아쉽지만 그래도 참 좋은 제품이죠. 여러분도 OO 아이크림 바르고 촉촉하게 겨울 보내시길 바랄게요.",보습력/수분감,피부가 점점 더 건조해지는데 제 피부에 이 제품이 딱이에요.,1,[속성] 기능/효과 [문장] 피부가 점점 더 건조해지는데 제 피부에 이 제품이 딱이에요.,7,기능/효과,function_excluded,train
1023189,SNS,스킨케어,OO 순** 클렌징 폼 200ml,"매일 아침저녁으로 사용하게 되는 클렌징 폼, 아무거나 쓸 수는 없겠죠. 최근 사용해 본 OO의 OOO 클렌징 폼 사용후기 보시고 모두 만족스러운 선택 하시길 바랄게요. 요즘은 코로나 시국이라 마스크를 쓰고 다니니 화장을 잘 안 하게 돼요. 그래서 메이크업을 지우기보다는 간단히 세수할 때 쓰려고 산 제품입니다. OO는 워낙 유명한 브랜드라서 말이 필요 없죠. (특히 우리 엄마한테 인기 최고!) 유효기간도 넉넉한 제품이 와서 개봉 전부터 기분이 좋았어요. 저자극 클렌징이라고 하는데 제형은 워터젤 타입으로 거품도 잘 나요. 제 피부가 건조한 편인데 이 제품을 사용하니 세수한 뒤에도 수분감이 촉촉하게 느껴져서 아무래도 다음에 또 사게 될 것 같아요. 게다가 펌핑하는 부분을 잠글 수 있게 되어 있어서 여행 시 가지고 다니기에도 편하겠네요. 저처럼 나도 좋고 엄마도 좋은 세안제를 찾으시는 따님들, OOO 클렌징 폼 주목해 보세요~",기타 기능/효과,거품도 잘 나요.,1,[속성] 기능/효과 [문장] 거품도 잘 나요.,2,기능/효과,function_excluded,train
1023189,SNS,스킨케어,OO 순** 클렌징 폼 200ml,"매일 아침저녁으로 사용하게 되는 클렌징 폼, 아무거나 쓸 수는 없겠죠. 최근 사용해 본 OO의 OOO 클렌징 폼 사용후기 보시고 모두 만족스러운 선택 하시길 바랄게요. 요즘은 코로나 시국이라 마스크를 쓰고 다니니 화장을 잘 안 하게 돼요. 그래서 메이크업을 지우기보다는 간단히 세수할 때 쓰려고 산 제품입니다. OO는 워낙 유명한 브랜드라서 말이 필요 없죠. (특히 우리 엄마한테 인기 최고!) 유효기간도 넉넉한 제품이 와서 개봉 전부터 기분이 좋았어요. 저자극 클렌징이라고 하는데 제형은 워터젤 타입으로 거품도 잘 나요. 제 피부가 건조한 편인데 이 제품을 사용하니 세수한 뒤에도 수분감이 촉촉하게 느껴져서 아무래도 다음에 또 사게 될 것 같아요. 게다가 펌핑하는 부분을 잠글 수 있게 되어 있어서 여행 시 가지고 다니기에도 편하겠네요. 저처럼 나도 좋고 엄마도 좋은 세안제를 찾으시는 따님들, OOO 클렌징 폼 주목해 보세요~",보습력/수분감,제 피부가 건조한 편인데 이 제품을 사용하니 세수한 뒤에도 수분감이 촉촉하게 느껴져서,1,[속성] 기능/효과 [문장] 제 피부가 건조한 편인데 이 제품을 사용하니 세수한 뒤에도 수분감이 촉촉하게 느껴져서,7,기능/효과,function_excluded,train
