split,review_id,source,category,product_name,raw_text,aspect,sentiment_text,sentiment_polarity,model_input,label,original_aspect,normalization_reason
train,1023473,SNS,스킨케어,OO 극** 에멀전 125ml,비싼만큼 제값하는 화장품 찾기가 쉽지 않은데요 저희 어머니가 꾸준히 쓰고 계시고 저도 얼마전부터 사용중인 로션 리뷰입니다. OO OOO 에멀전은 얼굴에 촉촉하게 잘발리고 더 반짝반짝해져서 피부가 좋아보인다고 하시더라구요 한방 향이 독하지 않구 촉촉해서 좋아요 저희 어머니는 10년동안 기초는 OOO라인만 쓰고 계셔서 항상 제가 대신 구매해드렸거든요 그러다 이번에 저도 쓰게 되었는데 건성피부인 제가 이거 사용하고 나서 피부좋단 소리 많이 들었어요 주변에 꼭 OO만 쓰시는 분들이 계시는데 다 OOO라인 추천을 많이 하시더라구요 피부에 꼭 맞는 제품 찾으시길 바랄게요!,보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1023475,SNS,스킨케어,OO 크** 모이스처라이저 딥 모이스트 125ml ,건성 피부에게 겨울은 혹독한 계절이에요 이 시즌을 넘기기 위해 찾은 쫀득한 로션 리뷰입니다. OO OOO 모이스처라이저구요 제형이 정말 크리미하게 건성에게는 딱 겨울에 맞는 로션입니다. 순하고 제형이 부드럽고 향기도 OO답게 적당히 고급스러워요 민감한 피부에도 별 자극없이 잘 흡수가 되구요 펌프형이라 딱 한 번 쓸 만큼만 짜내기 편합니다. 다 좋지만 용량이 작은 건 정말 불편하네요 아껴쓰지 않으면 너무 금방 써버리는 단점이 있어요 혹독한 겨울 모두 피부 조심하세요~,제형,제형이 부드럽고,1,[속성] 제형 [문장] 제형이 부드럽고,,제형,unchanged
train,1024775,SNS,스킨케어,OO 피** 선,"안녕하세요~ 오늘은 ㅇㅇㅇ 제품을 소개해 드리려고 해요~ 코로나 시대로 마스크를 매일 쓰고 다니는 만큼 파데프리를 하고 싶어서 톤업크림을 알아보고 있었는데, 이 제품은 톤업도 되고 자외선 차단도 해서 구입을 해봤어요ㅎㅎ 보통 톤업 크림은 색상이 햐얀색인 경우가 많은데 이 제품은 피치빛이라서 발랐을 때 피부톤이 자연스럽게 화사하게 올라갑니다ㅎㅎ 부드럽고 촉촉하게 잘 발리기는 하지만 마무리는 보송해서 속건조가 있으신 분들께는 추천드리지 않아요! 파데프리를 위한 첫걸음으로 이 제품을 추천합니다~",보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1024818,SNS,스킨케어,OO 하** 세럼,안녕하세요~ 오늘은 ㅇㅇㅇ 세럼을 리뷰해 볼게요~ 워낙 유명한 제품이라 저도 한번 사용해 보고 싶었는데 가격이 너무 사악해서 그동안 구매를 못했어요ㅠㅠ 지금 ㅇㅇ에서 특가로 판매하고 있으니 노리고 있던 분들은 언능 달려가세요! 속건조에 효과적인 제품이라고 들은 만큼 속건조를 쫙 잡아주고 묽은 제형이라 끈적임 없이 가볍게 발리면서 흡수력 또한 매우 뛰어나더라구요ㅎㅎ 이제 ㅇㅇㅇ제품은 믿고 구매할 정도로 신뢰가 쌓이는 브랜드네요ㅎㅎ 속건조 있으신 분들 얼른 ㅇㅇ으로 달려가~~,제형,묽은 제형이라,0,[속성] 제형 [문장] 묽은 제형이라,,제형,unchanged
train,1025469,SNS,스킨케어,OO 로** 스네일 달팽이 크림 50ml,어떤 제품으로 피부 관리 하시나요? 저는 이 제품을 추천 하고 싶어서 가져왔어요!! 달팽이 크림인데 너무 좋아서 알려 드리고 싶었어요 :) 오늘 후기 들으시고 주문 하시길 바랄게요~!! 일단 이 제품은 제형이 쫀쫀해서 발림성이 너무 좋은 것 같아요!! 약 한 달 넘게 사용을 했는데 피부가 부드러워지는 것 같아요!! 가격도 저렴한 것 같아서 사는 데 부담이 없는 것 같습니다!! ㅎㅎㅎ 제가 사용하고 너무 좋아서 친구 선물로도 사줬습니다!! 아직 이 제품 사용하시지 않은 분들은 꼭 사용하시길 바랄게요!! 오늘 소개 해드린 제품 어떠셨나요~? 기회가 되시면 꼭 사용 해보시길 바랍니다!!,제형,제형이 쫀쫀해서,1,[속성] 제형 [문장] 제형이 쫀쫀해서,,제형,unchanged
train,1025606,SNS,스킨케어,OO 파** 선크림 50ml 1개,선크림 찾으시고 계셨나요? 이 제품 쓰시면 좋을 것 같아요~^^ 제가 피부 타는 거에 예민해서 많은 선크림을 써 왔는데 이 제품이 가장 좋아서 추천 드리고 싶었습니다~~ 저는 원래 선크림 유목민이었어요~ 우선 집에 있는 많은 선크림 중에 몇 가지만 이야기를 하자면 어떤 제품은 백탁 현상이 너무 심해서 바르기만 하면 하얘지고 어떤 선크림은 향이 너무 안 좋은 제품도 있고 어떤 제품은 눈 주위에 자극이 가서 별로였던 제품도 있었습니다... 그래서 이것 저것 매 번 몇 번 바르고 안 바르게 되었는데 이 제품은 정말 대박인 것 같아요!! 일단 백탁 현상 없고 향도 무난하고 무엇보다 순해서 좋은 것 같습니다!!! 이 세가지 장점 만으로도 저는 이 제품을 선택할 이유가 충분히 있다고 봅니다!! 꼭 사용하시길 바랄게요~,향,향도 무난하고,1,[속성] 향 [문장] 향도 무난하고,,향,unchanged
train,1025871,SNS,스킨케어,OO 유** 아이크림 포페이스 30ml,날씨가 쌀쌀해지며 건조해지면 피부에 더욱 신경써야 할것 같아요 동생과 함께 늘 바르는 OO아이크림 추천합니다~~^^ OO아이크링은 주름과 미백 효과도 있어서 피부톤을 맑게 해주더라구요.쫀쫀한제형은 바르는 순간 발림성이 좋아 촉촉하게 흡수되어 피부가 탱탱하게 탄력이 생긴답니다 눈가와 목에도 주름이 없어지길 효과 있기를 바라머 듬뿍 바르고 있어요 ㅎㅎ 은은한 꽃향도 무지 좋아용~~^^ 가성비도 좋아 계속 건조함을 느낄때마다 발라줍니다특히 겨울엔 짱! OO 아이크림 적극 추천합니다~~^^,보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1025933,SNS,스킨케어,OO 로** 스네일 달팽이 크림 50ml,처음엔 언니 화장대에서 있어 무심히 한번 써봤어요. 근데 촉촉함이 너무 좋은 거예요 엥 ~~이게 뭐지? 바로 OO OOO크림이네요 ^^~~ 쫀쫀한 제형으로 발림성이 좋아 피부에 부드럽게 발라지면서 흡수 되더라구요. 번들거리지도 않고 민감한 피부에 진정효과도 있어서 촉촉해져요ㅋㅋ 그래서 저도 구매했답니다^^ 가격도 저렴해서 밤에마음 껏 듬뿍 발라도 좋아용~~ 담 날 화장도 잘 먹더라구요 ㅎㅎ 케이스도 예쁘고 고급스러워 엄마에게도 선물하고 점수 따야 겠어요 ㅋㅋ,제형,쫀쫀한 제형으로,0,[속성] 제형 [문장] 쫀쫀한 제형으로,,제형,unchanged
train,1026037,SNS,스킨케어,OO 그** 선 플러스 50ml,"화장품 세계에는 유목민이 참 많지만, 그 중에서도 선크림은 유목민이 정말 많은 아이템인 것 같아요. 그런데 오늘 소개해 드리는 OO의 OOO 제품에 정착민이 많이 생기고 있다고 해서 사용해 봤답니다. 사용해 보니 밀림 없이 덧바르기가 좋고, 유기자차에 비해 자극이 덜해 저는 마음에 들더라고요. 백탁도 전혀 없다고는 할 수 없지만 거의 없는 정도이고, 발림성도 좋고, 끈적임이나 기름기도 없고, 이 정도면 정말 너무 좋은 선크림이죠. 다만 세안은 꼭 이중세안을 하셔야 해요. 무기자차 성분의 특성상 폼클렌징만으로는 깨끗이 지워지지 않을 수 있으니 이 점 유념하세요. 정착하기 좋은 선크림, OO OOO 후기였습니다!",자극성,자극이 덜해,1,[속성] 자극성 [문장] 자극이 덜해,,자극성,unchanged
train,1026042,SNS,스킨케어,OO 엑티브 크림 EX 50ml,"그냥 보습 말고 피부미인 만들어 줄 크림이라기에 구매해 본 OO OOO 크림 사용후기를 공유해 보려고 해요. 처음 사용했을 땐 자극이 어마어마했어요. 바르고 나면 불에 덴 듯이 쓰리고 따가울 지경이어서 잠시 사용을 중단하고 피부를 진정시켜야 했어요. 며칠 뒤에 다시 조심스럽게 사용을 재개했는데 그 때부터는 크림의 효능이 빛을 발하더라고요. 코와 볼 부위에 늘어진 모공이 좁혀지는 것 같고 피부에 탄력이 차오르는 느낌이었어요. 가격이 비싸서 효과 없으면 어쩌나 걱정했는데 괜한 걱정이었어요. 가벼운 제품들 위주로만 사용하던 저에게는 작은 모험이었는데, 도전해 보길 잘한 것 같아요.",가격,가격이 비싸서,-1,[속성] 가격 [문장] 가격이 비싸서,,가격,unchanged
